[2026-05-21 01:13:44] SUCCESS  index_000300 shape=(1301, 7)
[2026-05-21 01:13:45] SUCCESS  index_000905 shape=(1301, 7)
[2026-05-21 01:23:10] FAILED   macro_cpi Error: "None of [Index(['月份', '全国居民消费价格指数同比增长'], dtype='str')] are in the [columns]"
[2026-05-21 01:23:12] FAILED   macro_m2 Error: "None of [Index(['月份', 'M2同比'], dtype='str')] are in the [columns]"
[2026-05-21 01:24:06] SUCCESS  index_000300 shape=(1543, 7)
[2026-05-21 01:24:07] SUCCESS  index_000905 shape=(1543, 7)
[2026-05-21 01:27:45] SUCCESS  macro_cpi shape=(70, 2)
[2026-05-21 01:27:47] SUCCESS  macro_m2 shape=(130, 2)
[2026-05-21 01:33:09] FAILED   finance_600000 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:09] FAILED   finance_601398 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:09] FAILED   finance_000858 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:10] FAILED   finance_600519 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:10] FAILED   finance_000002 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:10] FAILED   finance_600048 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:11] FAILED   finance_601127 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:11] FAILED   finance_002594 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:12] FAILED   finance_601088 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:33:12] FAILED   finance_600050 Error: Can only use .str accessor with string values, not integer
[2026-05-21 01:35:27] FAILED   finance_600000 Error: '净资产收益率ROE'
[2026-05-21 01:35:27] FAILED   finance_601398 Error: '净资产收益率ROE'
[2026-05-21 01:35:28] FAILED   finance_000858 Error: '净资产收益率ROE'
[2026-05-21 01:35:28] FAILED   finance_600519 Error: '净资产收益率ROE'
[2026-05-21 01:35:29] FAILED   finance_000002 Error: '净资产收益率ROE'
[2026-05-21 01:35:29] FAILED   finance_600048 Error: '净资产收益率ROE'
[2026-05-21 01:35:29] FAILED   finance_601127 Error: '净资产收益率ROE'
[2026-05-21 01:35:30] FAILED   finance_002594 Error: '净资产收益率ROE'
[2026-05-21 01:35:30] FAILED   finance_601088 Error: '净资产收益率ROE'
[2026-05-21 01:35:31] FAILED   finance_600050 Error: '净资产收益率ROE'
[2026-05-21 01:37:49] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:37:49] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:38:06] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_indicator_ths'
[2026-05-21 01:40:48] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:48] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:54] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:55] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:56] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600000 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601398 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_000858 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600519 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_000002 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600048 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601127 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_002594 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_601088 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:40:57] FAILED   finance_600050 Error: module 'akshare' has no attribute 'stock_financial_report'
[2026-05-21 01:41:57] FAILED   finance_600000 Error: 'roe'
[2026-05-21 01:41:57] FAILED   finance_601398 Error: 'roe'
[2026-05-21 01:41:57] FAILED   finance_000858 Error: 'roe'
[2026-05-21 01:41:57] FAILED   finance_600519 Error: 'roe'
[2026-05-21 01:41:58] FAILED   finance_000002 Error: 'roe'
[2026-05-21 01:41:58] FAILED   finance_600048 Error: 'roe'
[2026-05-21 01:41:58] FAILED   finance_601127 Error: 'roe'
[2026-05-21 01:41:59] FAILED   finance_002594 Error: 'roe'
[2026-05-21 01:41:59] FAILED   finance_601088 Error: 'roe'
[2026-05-21 01:41:59] FAILED   finance_600050 Error: 'roe'
[2026-05-21 01:42:05] FAILED   finance_600000 Error: 'roe'
[2026-05-21 01:42:06] FAILED   finance_601398 Error: 'roe'
[2026-05-21 01:42:06] FAILED   finance_000858 Error: 'roe'
[2026-05-21 01:42:06] FAILED   finance_600519 Error: 'roe'
[2026-05-21 01:42:07] FAILED   finance_000002 Error: 'roe'
[2026-05-21 01:42:07] FAILED   finance_600048 Error: 'roe'
[2026-05-21 01:42:07] FAILED   finance_601127 Error: 'roe'
[2026-05-21 01:42:07] FAILED   finance_002594 Error: 'roe'
[2026-05-21 01:42:07] FAILED   finance_601088 Error: 'roe'
[2026-05-21 01:42:07] FAILED   finance_600050 Error: 'roe'
[2026-05-21 01:42:30] FAILED   finance_600000 Error: 'roe'
[2026-05-21 01:42:30] FAILED   finance_601398 Error: 'roe'
[2026-05-21 01:42:30] FAILED   finance_000858 Error: 'roe'
[2026-05-21 01:42:30] FAILED   finance_600519 Error: 'roe'
[2026-05-21 01:42:30] FAILED   finance_000002 Error: 'roe'
[2026-05-21 01:42:31] FAILED   finance_600048 Error: 'roe'
[2026-05-21 01:42:31] FAILED   finance_601127 Error: 'roe'
[2026-05-21 01:42:32] FAILED   finance_002594 Error: 'roe'
[2026-05-21 01:42:32] FAILED   finance_601088 Error: 'roe'
[2026-05-21 01:42:32] FAILED   finance_600050 Error: 'roe'
[2026-05-21 01:43:55] SUCCESS  finance_600000
[2026-05-21 01:43:56] SUCCESS  finance_601398
[2026-05-21 01:43:58] SUCCESS  finance_000858
[2026-05-21 01:44:01] SUCCESS  finance_600519
[2026-05-21 01:44:03] SUCCESS  finance_000002
[2026-05-21 01:44:05] SUCCESS  finance_600048
[2026-05-21 01:44:06] SUCCESS  finance_601127
[2026-05-21 01:44:07] SUCCESS  finance_002594
[2026-05-21 01:44:09] SUCCESS  finance_601088
[2026-05-21 01:44:10] SUCCESS  finance_600050
[2026-05-21 01:45:19] SUCCESS  finance_600000
[2026-05-21 01:45:21] SUCCESS  finance_601398
[2026-05-21 01:45:23] SUCCESS  finance_000858
[2026-05-21 01:45:24] SUCCESS  finance_600519
[2026-05-21 01:45:26] SUCCESS  finance_000002
[2026-05-21 01:45:27] SUCCESS  finance_600048
[2026-05-21 01:45:31] SUCCESS  finance_601127
[2026-05-21 01:45:33] SUCCESS  finance_002594
[2026-05-21 01:45:34] SUCCESS  finance_601088
[2026-05-21 01:45:36] SUCCESS  finance_600050
