股票,行业,年化均值,年化波动率,偏度,峰度,最大回撤
601127,汽车,0.3168,0.6163,0.3611,0.8653,-0.7795
002594,汽车,0.2926,0.4309,0.3102,2.1044,-0.5605
601088,能源,0.2263,0.2992,0.3121,3.2501,-0.2353
601398,银行,0.0884,0.1624,0.4517,5.767,-0.224
600519,白酒,0.0482,0.2759,0.2603,3.6349,-0.5422
600000,银行,-0.0109,0.1994,0.0144,5.3926,-0.4127
600050,通讯,-0.0137,0.2904,0.8892,7.3707,-0.4678
000858,白酒,-0.044,0.3435,0.0936,3.3632,-0.7802
600048,房地产,-0.1191,0.3611,0.5564,3.1601,-0.742
000002,房地产,-0.3268,0.3626,0.654,3.2551,-0.9101
